"","market","stop_ship_acct","customer_state_code","count_customer_nk","Date"
"110","PUBL","Y","CT",555,"2020-05-01"
"111","PUBL","Y","ME",229,"2020-05-01"
"112","PUBL","Y","MA",458,"2020-05-01"
"113","PUBL","N","RI",681,"2020-05-01"
"114","PUBL","Y","NM",63,"2020-05-01"
"115","PUBL","Y","UT",13,"2020-05-01"
"116","PUBL","N","AL",1543,"2020-05-01"
"117","PUBL","Y","TN",128,"2020-05-01"
"118","PUBL","Y","AR",10,"2020-05-01"
"119","PUBL",NA,"MD",189,"2020-05-01"
"120","PUBL",NA,"SC",101,"2020-05-01"
"121","PUBL",NA,"OK",102,"2020-05-01"
"122","PUBL",NA,"MO",311,"2020-05-01"
"123","PUBL",NA,"MT",60,"2020-05-01"
"124","PUBL",NA,"ID",76,"2020-05-01"
"125","PUBL","N","WI",3060,"2020-05-01"
"126","PUBL","N","OK",823,"2020-05-01"
"127","PUBL","Y","IA",73,"2020-05-01"
"128","PUBL","Y","MN",158,"2020-05-01"
"129","PUBL","Y","NE",6,"2020-05-01"
"130","PUBL","N","NM",798,"2020-05-01"
"131","PUBL","N","FL",7212,"2020-05-01"
"132","PUBL","N","DE",532,"2020-05-01"
"133","PUBL","Y","DE",67,"2020-05-01"
"134","PUBL","Y","MD",315,"2020-05-01"
"135","PUBL","Y","PA",656,"2020-05-01"
"136","PUBL","Y","VA",223,"2020-05-01"
"137","PUBL","Y","WV",80,"2020-05-01"
"138","PUBL","N","ZEA",3,"2020-05-01"
"139","PUBL","Y","NV",82,"2020-05-01"
"140","PUBL",NA,"NC",411,"2020-05-01"
"141","PUBL",NA,"DE",159,"2020-05-01"
"142","PUBL",NA,"MS",111,"2020-05-01"
"143","PUBL",NA,"KY",184,"2020-05-01"
"144","PUBL",NA,"MI",765,"2020-05-01"
"145","PUBL",NA,"CO",338,"2020-05-01"
"146","PUBL",NA,"KS",297,"2020-05-01"
"147","PUBL",NA,"NV",73,"2020-05-01"
"148","PUBL","Y","SD",5,"2020-05-01"
"149","PUBL","N","IA",2548,"2020-05-01"
"150","PUBL","N","IL",6045,"2020-05-01"
"151","PUBL","N","MO",1939,"2020-05-01"
"152","PUBL","Y","MS",252,"2020-05-01"
"153","PUBL","N","NV",615,"2020-05-01"
"154","PUBL","N","CO",1767,"2020-05-01"
"155","PUBL","Y","ID",37,"2020-05-01"
"156","PUBL","Y","WA",295,"2020-05-01"
"157","PUBL",NA,"NY",1399,"2020-05-01"
"158","PUBL",NA,"VA",422,"2020-05-01"
"159","PUBL",NA,"AL",242,"2020-05-01"
"160","PUBL",NA,"GA",391,"2020-05-01"
"161","PUBL",NA,"IL",1088,"2020-05-01"
"162","PUBL",NA,"DC",33,"2020-05-01"
"163","PUBL",NA,"AZ",437,"2020-05-01"
"164","PUBL",NA,"AE",45,"2020-05-01"
"165","PUBL",NA,"AK",58,"2020-05-01"
"166","PUBL","N","NE",1117,"2020-05-05"
"167","PUBL","Y","KS",224,"2020-05-05"
"168","PUBL","N","KY",1344,"2020-05-05"
"169","PUBL","N","WA",1099,"2020-05-05"
"170","PUBL","N","MD",1716,"2020-05-05"
"171","PUBL","Y","NH",208,"2020-05-05"
"172","PUBL","Y","CA",1233,"2020-05-05"
"173","PUBL","Y","AK",37,"2020-05-05"
"174","PUBL","Y","AZ",102,"2020-05-05"
"175","PUBL","Y","WY",21,"2020-05-05"
"176","PUBL","N","TEX",1,"2020-05-05"
"177","PUBL",NA,"CA",1180,"2020-05-05"
"178","PUBL",NA,"WI",706,"2020-05-05"
"179","PUBL",NA,"HI",70,"2020-05-05"
"180","PUBL",NA,"SD",34,"2020-05-05"
"181","PUBL","N","AE",1,"2020-05-05"
"182","PUBL","Y","IL",1696,"2020-05-05"
"183","PUBL","Y","MI",830,"2020-05-05"
"184","PUBL","N","IN",2347,"2020-05-05"
"185","PUBL","N","NY",9543,"2020-05-05"
"186","PUBL","N","WV",478,"2020-05-05"
"187","PUBL","N","DC",564,"2020-05-05"
"188","PUBL","Y","SC",164,"2020-05-05"
"189","PUBL","N","AR",676,"2020-05-05"
"190","PUBL","Y","GA",277,"2020-05-05"
"191","PUBL","Y","LA",152,"2020-05-05"
"192","PUBL","Y","NC",259,"2020-05-05"
"193","PUBL",NA,"PA",640,"2020-05-05"
"194","PUBL",NA,"IA",551,"2020-05-05"
"195","PUBL","N","NE",1117,"2020-05-04"
"196","PUBL","Y","KS",226,"2020-05-04"
"197","PUBL","N","KY",1336,"2020-05-04"
"198","PUBL","N","WA",1092,"2020-05-04"
"199","PUBL","N","MD",1716,"2020-05-04"
"200","PUBL","N","HI",266,"2020-05-05"
"201","PUBL","N","MT",418,"2020-05-05"
"202","PUBL","Y","OR",104,"2020-05-05"
"203","PUBL",NA,"NJ",857,"2020-05-05"
"204","PUBL",NA,"OH",584,"2020-05-05"
"205","PUBL",NA,"TN",462,"2020-05-05"
"206","PUBL",NA,"WV",61,"2020-05-05"
"207","PUBL",NA,"WA",186,"2020-05-05"
"208","PUBL",NA,"AP",6,"2020-05-05"
"209","PUBL",NA,"ON",1,"2020-05-05"
"210","PUBL","N","OH",3113,"2020-05-05"
"211","PUBL","N","TX",8795,"2020-05-05"
"212","PUBL","Y","IN",1138,"2020-05-05"
"213","PUBL","Y","OK",91,"2020-05-05"
"214","PUBL","Y","TX",609,"2020-05-05"
"215","PUBL","N","MS",645,"2020-05-05"
"216","PUBL","N","LA",837,"2020-05-05"
"217","PUBL","Y","RI",113,"2020-05-05"
"218","PUBL","N","NC",3136,"2020-05-05"
"219","PUBL","N","WY",444,"2020-05-05"
"220","PUBL","Y","CO",213,"2020-05-05"
"221","PUBL","N","OR",924,"2020-05-05"
"222","PUBL","Y","FL",372,"2020-05-05"
"223","PUBL",NA,"RI",100,"2020-05-05"
"224","PUBL",NA,"LA",172,"2020-05-05"
"225","PUBL",NA,"IN",525,"2020-05-05"
"226","PUBL",NA,"TX",1104,"2020-05-05"
"227","PUBL",NA,"MA",879,"2020-05-05"
"228","PUBL",NA,"NH",273,"2020-05-05"
"229","PUBL",NA,"WY",58,"2020-05-05"
"230","PUBL",NA,"OR",172,"2020-05-05"
"231","PUBL",NA,"ND",45,"2020-05-05"
"232","PUBL","N","VI",1,"2020-05-05"
"233","PUBL","N","KS",1466,"2020-05-05"
"234","PUBL","N","SD",343,"2020-05-05"
"235","PUBL","N","MN",1519,"2020-05-05"
"236","PUBL","Y","KY",184,"2020-05-05"
"237","PUBL","N","VA",2086,"2020-05-05"
"238","PUBL","N","VT",770,"2020-05-05"
"239","PUBL","N","PA",3712,"2020-05-05"
"240","PUBL","N","SC",1524,"2020-05-05"
"241","PUBL","Y","CT",547,"2020-05-05"
"242","PUBL","Y","ME",220,"2020-05-05"
"243","PUBL","Y","MA",453,"2020-05-05"
"244","PUBL","N","RI",684,"2020-05-05"
"245","PUBL","Y","NM",54,"2020-05-05"
"246","PUBL","Y","UT",13,"2020-05-05"
"247","PUBL","N","AL",1550,"2020-05-05"
"248","PUBL","Y","TN",125,"2020-05-05"
"249","PUBL","Y","AR",10,"2020-05-05"
"250","PUBL",NA,"MD",189,"2020-05-05"
"251","PUBL",NA,"SC",101,"2020-05-05"
"252","PUBL",NA,"OK",102,"2020-05-05"
"253","PUBL",NA,"MO",311,"2020-05-05"
"254","PUBL",NA,"MT",60,"2020-05-05"
"255","PUBL",NA,"ID",76,"2020-05-05"
"256","PUBL","N","WI",3069,"2020-05-05"
"257","PUBL","N","OK",855,"2020-05-05"
"258","PUBL","Y","IA",72,"2020-05-05"
"259","PUBL","Y","MN",153,"2020-05-05"
"260","PUBL","Y","NE",6,"2020-05-05"
"261","PUBL","N","NM",807,"2020-05-05"
"262","PUBL","N","FL",7237,"2020-05-05"
"263","PUBL","N","DE",538,"2020-05-05"
"264","PUBL","Y","DE",61,"2020-05-05"
"265","PUBL","Y","MD",315,"2020-05-05"
"266","PUBL","Y","PA",655,"2020-05-05"
"267","PUBL","Y","VA",222,"2020-05-05"
"268","PUBL","Y","WV",78,"2020-05-05"
"269","PUBL","N","ZEA",3,"2020-05-05"
"270","PUBL","Y","NV",82,"2020-05-05"
"271","PUBL",NA,"NC",411,"2020-05-05"
"272","PUBL",NA,"DE",159,"2020-05-05"
"273","PUBL",NA,"MS",111,"2020-05-05"
"274","PUBL",NA,"KY",184,"2020-05-05"
"275","PUBL",NA,"MI",765,"2020-05-05"
"276","PUBL",NA,"CO",338,"2020-05-05"
"277","PUBL",NA,"KS",297,"2020-05-05"
"278","PUBL",NA,"NV",73,"2020-05-05"
"279","PUBL","Y","SD",5,"2020-05-05"
"280","PUBL","N","IA",2549,"2020-05-05"
"281","PUBL","N","IL",6089,"2020-05-05"
"282","PUBL","N","MO",1940,"2020-05-05"
"283","PUBL","Y","MS",249,"2020-05-05"
"284","PUBL","N","NV",615,"2020-05-05"
"285","PUBL","N","CO",1767,"2020-05-05"
"286","PUBL","Y","ID",25,"2020-05-05"
"287","PUBL","Y","WA",287,"2020-05-05"
"288","PUBL",NA,"NY",1399,"2020-05-05"
"289","PUBL",NA,"VA",422,"2020-05-05"
"290","PUBL",NA,"AL",242,"2020-05-05"
"291","PUBL",NA,"GA",391,"2020-05-05"
"292","PUBL",NA,"IL",1088,"2020-05-05"
"293","PUBL",NA,"DC",33,"2020-05-05"
"294","PUBL",NA,"AZ",437,"2020-05-05"
"295","PUBL",NA,"AE",45,"2020-05-05"
"296","PUBL",NA,"AK",58,"2020-05-05"
"297","PUBL","N","NE",1117,"2020-05-06"
"298","PUBL","Y","KS",208,"2020-05-06"
"299","PUBL","N","KY",1345,"2020-05-06"
"300","PUBL","N","WA",1099,"2020-05-06"
"301","PUBL","N","MD",1723,"2020-05-06"
"302","PUBL","Y","NH",208,"2020-05-06"
"303","PUBL","Y","CA",1228,"2020-05-06"
"304","PUBL","Y","AK",29,"2020-05-06"
"305","PUBL","Y","AZ",101,"2020-05-06"
"306","PUBL","Y","WY",21,"2020-05-06"
"307","PUBL","N","TEX",1,"2020-05-06"
"308","PUBL",NA,"CA",1180,"2020-05-06"
"309","PUBL",NA,"WI",706,"2020-05-06"
"310","PUBL",NA,"HI",70,"2020-05-06"
"311","PUBL",NA,"SD",34,"2020-05-06"
"312","PUBL","N","AE",1,"2020-05-06"
"313","PUBL","Y","IL",1672,"2020-05-06"
"314","PUBL","Y","MI",828,"2020-05-06"
"315","PUBL","N","IN",2401,"2020-05-06"
"316","PUBL","N","NY",9567,"2020-05-06"
"317","PUBL","N","WV",478,"2020-05-06"
"318","PUBL","N","DC",564,"2020-05-06"
"319","PUBL","Y","SC",164,"2020-05-06"
"320","PUBL","N","AR",677,"2020-05-06"
"321","PUBL","Y","GA",271,"2020-05-06"
"322","PUBL","Y","LA",152,"2020-05-06"
"323","PUBL","Y","NC",236,"2020-05-06"
"324","PUBL",NA,"PA",640,"2020-05-06"
"325","PUBL",NA,"IA",551,"2020-05-06"
"326","PUBL",NA,"MN",264,"2020-05-06"
"327","PUBL",NA,"VT",135,"2020-05-06"
"328","PUBL",NA,"ZZ",6,"2020-05-06"
"329","PUBL","N","AP",5,"2020-05-06"
"330","PUBL",NA,"NE",117,"2020-05-06"
"331","PUBL","N","102",1,"2020-05-06"
"332","PUBL","N","PR",3,"2020-05-06"
"333","PUBL","Y","OH",957,"2020-05-06"
"334","PUBL","N","GA",2917,"2020-05-06"
"335","PUBL","Y","MO",299,"2020-05-06"
"336","PUBL","Y","ND",4,"2020-05-06"
"337","PUBL","N","CA",10569,"2020-05-06"
"338","PUBL","N","ME",1680,"2020-05-06"
"339","PUBL","N","NH",1167,"2020-05-06"
"340","PUBL","N","AK",325,"2020-05-06"
"341","PUBL","Y","MT",33,"2020-05-06"
"342","PUBL","Y","AL",106,"2020-05-06"
"343","PUBL","N","AUS",5,"2020-05-06"
"344","PUBL",NA,"CT",574,"2020-05-06"
"345","PUBL",NA,"FL",723,"2020-05-06"
"346","PUBL",NA,"AR",109,"2020-05-06"
"347","PUBL",NA,"ME",289,"2020-05-06"
"348","PUBL",NA,"NM",137,"2020-05-06"
"349","PUBL",NA,"UT",120,"2020-05-06"
"350","PUBL",NA,"VI",2,"2020-05-06"
"351","PUBL","N","MI",3877,"2020-05-06"
"352","PUBL","Y","WI",272,"2020-05-06"
"353","PUBL","N","ND",388,"2020-05-06"
"354","PUBL","N","ID",408,"2020-05-06"
"355","PUBL","N","MA",4528,"2020-05-06"
"356","PUBL","N","NJ",5133,"2020-05-06"
"357","PUBL","N","CT",2961,"2020-05-06"
"358","PUBL","N","AZ",2437,"2020-05-06"
"359","PUBL","N","UT",526,"2020-05-06"
"360","PUBL","N","TN",2119,"2020-05-06"
"361","PUBL","Y","NJ",1010,"2020-05-06"
"362","PUBL","Y","DC",92,"2020-05-06"
